학교,체험처,학교_위도,학교_경도,체험처_위도,체험처_경도
경덕중학교,오란다 강정 만들기 번개놀이터 협동조합,36.56002748,128.708754,36.8224444,128.6183745
경덕중학교,"타로방범대(학생 상담, 응원)",36.56002748,128.708754,36.591216,128.1870866
경덕중학교,드론조종사,36.56002748,128.708754,36.591216,128.1870866
경덕중학교,기후행동가(환경 관련 직업 체험),36.56002748,128.708754,36.8070556,128.6293459
경덕중학교,건축모형제작(도시환경디자인과),36.56002748,128.708754,36.554877,128.7582194
경덕중학교,김장담그기와 6차산업,36.56002748,128.708754,36.1382617,129.0073776
경덕중학교,체질에 맞는 천연 비누 만들기,36.56002748,128.708754,36.1188414,128.3470946
경덕중학교,"""DIY"" 자양 바로담아 고추장담그기",36.56002748,128.708754,36.1382617,129.0073776
경덕중학교,드론 알고 날리자,36.56002748,128.708754,36.09788,128.38148
경덕중학교,"딸기, 네가 궁금해",36.56002748,128.708754,36.81682,128.68757
경덕중학교,자유학기제 산림항공본부 진로체험 프로그램,36.56002748,128.708754,36.5420192,128.7266552
경덕중학교,항공공학 관련 직업 체험,36.56002748,128.708754,36.8070556,128.6293459
경덕중학교,바른인성을 지닌 건강한 학생 어깨동무 (어울려서  깨닫는  동갑내기  무얼하든 즐겁게!),36.56002748,128.708754,36.1020797,128.3820047
경덕중학교,진로체험/아로마테라피/바다풍경 젤디퓨져 만들기,36.56002748,128.708754,36.0989995,128.432553
경덕중학교,청소년 진로설계 -우연히 주인공이 되는 선택,36.56002748,128.708754,36.1020797,128.3820047
경덕중학교,청소년 회복탄력성 -오늘도 뚝심있게 이겨내기,36.56002748,128.708754,36.1020797,128.3820047
경덕중학교,틱톡 틱톡(탁구 체험),36.56002748,128.708754,36.591216,128.1870866
경덕중학교,애견훈련사,36.56002748,128.708754,36.591216,128.1870866
경덕중학교,미래소방관 체험교실,36.56002748,128.708754,36.601023,128.2027179
경덕중학교,"미래의 주인공은 ""나"" 벌룬아트 소통 강의",36.56002748,128.708754,36.8224444,128.6183745
경덕중학교,"미용사 , 나의 적성에 맞는 일인지 궁금해요 !미용사 진로직업 체험",36.56002748,128.708754,36.5684049,128.6933617
경덕중학교,"코스메틱, 화장품연구원(뷰티 관련 직업군 체험)",36.56002748,128.708754,36.8070556,128.6293459
경안여자중학교,너의 성장은 타로와 함께,36.57250005,128.7231447,36.591216,128.1870866
경안여자중학교,"쇼콜라티에(2교시,초콜릿)",36.57250005,128.7231447,36.8070556,128.6293459
경안여자중학교,캘리그라피,36.57250005,128.7231447,36.1378904,128.444395
경안여자중학교,"타로방범대(학생 상담, 응원)",36.57250005,128.7231447,36.591216,128.1870866
경안여자중학교,틱톡 틱톡(탁구 체험),36.57250005,128.7231447,36.591216,128.1870866
경안여자중학교,도전 세계사,36.57250005,128.7231447,36.4281491,128.1707283
경안여자중학교,도전 한국사,36.57250005,128.7231447,36.4281491,128.1707283
경안여자중학교,도전_세계사,36.57250005,128.7231447,36.4281491,128.1707283
경안여자중학교,도전-세계사,36.57250005,128.7231447,36.4281491,128.1707283
경안여자중학교,"쇼콜라티에(2교시,초콜릿)",36.57250005,128.7231447,36.8070556,128.6293459
경안여자중학교,과학개념 완성 실험과학,36.57250005,128.7231447,36.4281491,128.1707283
경안여자중학교,"딸기, 네가 궁금해",36.57250005,128.7231447,36.81682,128.68757
경안여자중학교,미래소방관 체험교실,36.57250005,128.7231447,36.601023,128.2027179
경안여자중학교,우리 동네  해결사 청소년 마을탐사대,36.57250005,128.7231447,36.591216,128.1870866
경안여자중학교,창의 융합_드론비행,36.57250005,128.7231447,36.4281491,128.1707283
경안여자중학교,청년농부,36.57250005,128.7231447,36.591216,128.1870866
경안여자중학교,신나는 드럼(드럼 기초 배우기),36.57250005,128.7231447,36.4281491,128.1707283
경안여자중학교,Let’s sing in English 영어 노래 부르기,36.57250005,128.7231447,36.591216,128.1870866
경안여자중학교,공기반 소리반 보컬트레이닝,36.57250005,128.7231447,36.4281491,128.1707283
경안여자중학교,틱톡 틱톡(탁구 체험),36.57250005,128.7231447,36.591216,128.1870866
경안중학교,4컷 그림일기,36.57650803,128.6833866,36.591216,128.1870866
경안중학교,글씨를 디자인하다 (캘리그라퍼),36.57650803,128.6833866,36.1258279,128.3352152
경안중학교,나만의 글씨게 캘리그라피,36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,나만의 책 출판,36.57650803,128.6833866,36.1413769,128.3161768
경안중학교,캘리그라피,36.57650803,128.6833866,36.1378904,128.444395
경안중학교,신나는 드럼(드럼 기초 배우기),36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,Let’s sing in English 영어 노래 부르기,36.57650803,128.6833866,36.591216,128.1870866
경안중학교,"기초부터 배우는 아크릴, 유화",36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,"재미있게 배우는 기초 디자인, 일러스트",36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,"재미있게 배우는 수채화, 드로잉",36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,웹툰작가,36.57650803,128.6833866,36.591216,128.1870866
경안중학교,너의 성장은 타로와 함께,36.57650803,128.6833866,36.591216,128.1870866
경안중학교,창작이 즐거운 코딩,36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,"칵테일 만들기(소믈리에, 바텐더 바리스타  소개)",36.57650803,128.6833866,36.8224444,128.6183745
경안중학교,"타로방범대(학생 상담, 응원)",36.57650803,128.6833866,36.591216,128.1870866
경안중학교,딸기수확체험,36.57650803,128.6833866,36.81682,128.68757
경안중학교,바리스타 진로체험,36.57650803,128.6833866,36.0954207,128.4334233
경안중학교,진로체험/아로마테라피/바다풍경 젤디퓨져 만들기,36.57650803,128.6833866,36.0989995,128.432553
경안중학교,"타로방범대(학생 상담, 응원)",36.57650803,128.6833866,36.591216,128.1870866
경안중학교,"한국부동산원과 함께하는 청소년 직업체험(조사,통계,공시)",36.57650803,128.6833866,36.554877,128.7582194
경안중학교,과학개념 완성 실험과학,36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,미래소방관 체험교실,36.57650803,128.6833866,36.601023,128.2027179
경안중학교,바른인성을 지닌 건강한 학생 어깨동무 (어울려서  깨닫는  동갑내기  무얼하든 즐겁게!),36.57650803,128.6833866,36.1020797,128.3820047
경안중학교,우리 동네  해결사 청소년 마을탐사대,36.57650803,128.6833866,36.591216,128.1870866
경안중학교,청소년 자기주도학습법-자기스스로 전과목을 거뜬하게(공부스타일 점검하기),36.57650803,128.6833866,36.1020797,128.3820047
경안중학교,"AI 창의과학(자율주행 자동차, 호버볼 만들기)",36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,과학개념 완성 실험과학,36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,미래소방관 체험교실,36.57650803,128.6833866,36.601023,128.2027179
경안중학교,"미래의 주인공은 ""나"" 벌룬아트 소통 강의",36.57650803,128.6833866,36.8224444,128.6183745
경안중학교,창의 융합_드론비행,36.57650803,128.6833866,36.4281491,128.1707283
경안중학교,청년농부,36.57650803,128.6833866,36.591216,128.1870866
경안중학교,오란다 강정 만들기 번개놀이터 협동조합,36.57650803,128.6833866,36.8224444,128.6183745
경안중학교,쪽득한 양갱만들기(가공기능사 체험),36.57650803,128.6833866,36.1382617,129.0073776
경안중학교,체질에 맞는 천연 비누 만들기,36.57650803,128.6833866,36.1188414,128.3470946
경안중학교,커피 바리스타 체험 (호텔조리과),36.57650803,128.6833866,36.6520319,128.1846798
길안중학교,"‘위대한 함성’ 청소년, 순국 선열의 함성을 외치다.(독립역사 교육)",36.45903834,128.8946102,36.56198,128.70906
길안중학교,예절체험,36.45903834,128.8946102,36.1998392,128.3913747
길안중학교,와인맛의 감정사 소믈리에 (식사와 함께하는 와인예절교육),36.45903834,128.8946102,35.92362,128.89645
길안중학교,제과제빵(케이크만들기)(2교시)_참다운교육,36.45903834,128.8946102,36.8070556,128.6293459
길안중학교,찾아가는 선비수련체험(인성 함양 교육),36.45903834,128.8946102,36.7412482,128.8449588
길안중학교,6차산업 체험 생강오란다 만들기(지역 농산물 활용),36.45903834,128.8946102,36.8143403,128.6172124
길안중학교,농촌체험관광 진로체험,36.45903834,128.8946102,36.60483,129.29989
길안중학교,뭐야! 와인이 예술이라고!? 와인에 숨어있는 예술 찾기,36.45903834,128.8946102,35.92362,128.89645
길안중학교,어드벤티어링(농장 체험),36.45903834,128.8946102,36.52935,129.05015
길안중학교,칠보산휴양림 나무에게 말해봐(산림 체험),36.45903834,128.8946102,36.6139051,129.3886225
길안중학교,"메디컬(심장의) 돼지심장(의학,의사)",36.45903834,128.8946102,36.8070556,128.6293459
길안중학교,"미래의 주인공은 ""나"" 벌룬아트 소통 강의",36.45903834,128.8946102,36.8224444,128.6183745
길안중학교,"오디로 놀자! (오디따기, 오디빙수만들기)(농장 체험)",36.45903834,128.8946102,35.92362,128.89645
